,company,ltp,pe,bvps,sales,sales_growth,opm,npm
0,ANDHRA PETRO,122.05,4.699653446284175,51.76470588235294,861.0,52.120141342756185,37.39837398373984,25.667828106852497
1,BHANSALI ENG,166.95,5.5391506303915055,50.94117647058823,1491.0,15.402476780185758,44.802146210596916,33.5345405767941
2,CRISIL LTD  ,2885.55,51.51847884306375,204.85714285714286,2192.0,10.595358224016145,25.866788321167885,18.567518248175183
3,STEEL AUTH. ,107.15,3.3599874568830357,128.43379327039457,90592.0,31.076192956564515,27.415224302366656,14.542122924761568
4,HINDUS.ZI   ,316.80,15.42356377799416,85.98816568047337,25633.0,13.275001104777056,54.76144033082355,33.86650021456716
5,MARGO FIN   ,29.10,78.64864864864866,296.6301969365427,0.71,24.561403508771935,53.521126760563384,23.943661971830988
6,JINDAL POLYF,1037.50,5.047188168904456,708.8636363636363,5017.0,22.90543851053405,23.799083117400837,17.939007374925254
7,KIRL.FERROUS,212.10,5.718522512806686,88.26086956521739,3120.0,53.09126594700687,23.653846153846153,16.442307692307693
8,LYKA LABS   ,222.35,13.616044090630743,7.586206896551724,174.0,102.32558139534883,50.57471264367816,27.011494252873565
9,MANALI PETRO,109.05,5.009186954524575,50.872093023255815,1481.0,45.19607843137255,35.449020931802835,25.25320729237002
10,PIX TRANS   ,846.15,15.064091151860422,237.85714285714286,463.0,21.842105263157894,26.565874730021598,16.630669546436284
11,RUBFILA INT.,100.40,12.243902439024392,38.7037037037037,366.0,35.55555555555556,16.666666666666668,12.021857923497267
12,SUPREME PET ,700.40,9.731832708072808,129.89361702127658,4437.0,39.30926216640503,20.937570430471037,15.25805724588686
13,SWARAJ ENGIN,1618.80,15.719557195571955,220.0,1236.0,25.227963525835865,14.401294498381876,10.11326860841424
14,TATA ELXSI  ,5867.80,79.60656627323294,208.06451612903226,2149.0,17.68893756845564,30.01395998138669,21.358771521637973
15,VARD HOLDNG ,2983.75,2.7548241159634386,8600.0,23.0,15.0,86.95652173913044,1504.3478260869565
16,FINOLEX IND.,206.85,13.725945587259455,55.46774193548387,4364.0,26.01790355183367,29.032997250229148,21.425297891842348
17,TATA INVEST.,1354.75,37.14697011242117,3541.568627450981,209.0,28.220858895705522,79.90430622009569,88.03827751196172
18,SAGAR CEM.  ,269.55,18.399317406143346,106.0,1543.0,12.545587162654996,24.43292287751134,11.147116007777058
19,DECAN CEMENT,587.65,7.1377383699744925,441.42857142857144,837.0,10.422163588390502,21.50537634408602,13.739545997610513
20,BORORENEW   ,624.00,53.746770025839794,53.07692307692308,631.0,25.697211155378486,43.10618066561014,23.93026941362916
21,BALKRISH IND,2319.95,31.435636856368564,335.3333333333333,7138.0,23.43074528791285,29.125805547772487,19.991594284113198
22,SHRI DINESH ,773.65,37.886875612144955,191.66666666666669,85.0,16.438356164383563,20.0,12.941176470588236
23,SRF LIMITED ,2420.55,48.33366613418531,1254.5,10292.0,22.523809523809526,24.82510687912942,14.409249902837155
24,NATIONAL STD,8937.35,899.1297786720323,111.5,23.0,35.294117647058826,30.434782608695652,86.95652173913044
25,SANDUR MANG.,2477.35,5.307090831191088,1460.0,1515.0,102.81124497991968,48.18481848184818,27.722772277227723
26,TALBROS AUTO,396.30,8.282131661442007,225.0,568.0,27.92792792792793,13.380281690140846,10.387323943661972
27,DOLATALGO   ,90.50,8.85518590998043,24.444444444444443,265.0,21.004566210045663,83.01886792452831,67.9245283018868
28,GOLDCORP    ,145.00,7.647679324894514,106.66666666666667,22.0,15.789473684210526,63.63636363636363,50.0
29,AQFINTECH   ,538.55,81.10692771084337,37.503105590062106,9.24,230.00000000000003,41.55844155844156,57.467532467532465
30,ARIH SUPER  ,172.95,18.457844183564568,38.29268292682927,369.0,36.666666666666664,18.97018970189702,10.56910569105691
